104.18.223.141,SJC,North America,San Jose,169 ms
104.19.97.231,SJC,North America,San Jose,169 ms
162.159.249.65,LAX,North America,Los Angeles,170 ms
104.19.216.46,SJC,North America,San Jose,170 ms
104.18.147.203,SJC,North America,San Jose,170 ms
198.41.219.121,SJC,North America,San Jose,170 ms
104.16.36.202,SJC,North America,San Jose,170 ms
104.18.228.137,SJC,North America,San Jose,170 ms
104.18.221.166,SJC,North America,San Jose,170 ms
104.18.227.221,SJC,North America,San Jose,170 ms
162.159.254.244,LAX,North America,Los Angeles,170 ms
172.67.64.233,FRA,Europe,Frankfurt,170 ms
104.19.180.185,SJC,North America,San Jose,170 ms
104.19.175.59,SJC,North America,San Jose,170 ms
104.19.185.23,SJC,North America,San Jose,170 ms
172.65.248.108,SJC,North America,San Jose,170 ms
104.18.31.6,LAX,North America,Los Angeles,170 ms
104.19.73.124,SJC,North America,San Jose,170 ms
104.19.83.4,SJC,North America,San Jose,170 ms
104.19.71.225,SJC,North America,San Jose,170 ms
104.18.231.13,SJC,North America,San Jose,170 ms
104.24.208.176,FRA,Europe,Frankfurt,170 ms
104.18.200.244,SJC,North America,San Jose,170 ms
104.18.198.66,SJC,North America,San Jose,170 ms
104.18.226.139,SJC,North America,San Jose,170 ms
104.18.220.243,SJC,North America,San Jose,170 ms
172.67.89.12,FRA,Europe,Frankfurt,171 ms
104.18.185.249,SJC,North America,San Jose,171 ms
104.18.181.254,SJC,North America,San Jose,171 ms
104.19.226.139,SJC,North America,San Jose,171 ms
104.19.223.17,SJC,North America,San Jose,171 ms
104.19.229.49,SJC,North America,San Jose,171 ms
172.64.176.103,SJC,North America,San Jose,171 ms
162.159.140.152,FRA,Europe,Frankfurt,171 ms
104.19.162.158,SJC,North America,San Jose,171 ms
104.19.166.107,SJC,North America,San Jose,171 ms
104.16.35.181,SJC,North America,San Jose,171 ms
104.19.190.222,SJC,North America,San Jose,171 ms
104.19.74.23,SJC,North America,San Jose,171 ms
104.19.68.245,SJC,North America,San Jose,171 ms
104.18.24.102,SJC,North America,San Jose,171 ms
104.18.37.2,SJC,North America,San Jose,171 ms
104.18.25.151,SJC,North America,San Jose,171 ms
104.18.36.249,LAX,North America,Los Angeles,171 ms
104.18.21.232,LAX,North America,Los Angeles,171 ms
104.19.231.158,SJC,North America,San Jose,171 ms
104.19.220.208,SJC,North America,San Jose,171 ms
104.19.214.154,SJC,North America,San Jose,171 ms
104.18.224.4,SJC,North America,San Jose,171 ms
104.18.218.184,SJC,North America,San Jose,171 ms
104.18.207.71,SJC,North America,San Jose,171 ms
104.19.66.222,SJC,North America,San Jose,171 ms
104.19.69.226,SJC,North America,San Jose,171 ms
104.19.67.60,SJC,North America,San Jose,171 ms
104.19.70.195,SJC,North America,San Jose,171 ms
104.19.63.110,SJC,North America,San Jose,171 ms
104.19.64.204,SJC,North America,San Jose,171 ms
104.17.144.13,SJC,North America,San Jose,171 ms
104.17.217.76,SJC,North America,San Jose,171 ms
104.19.54.47,SJC,North America,San Jose,171 ms
104.19.65.238,SJC,North America,San Jose,171 ms
104.19.80.87,SJC,North America,San Jose,171 ms
104.19.50.130,SJC,North America,San Jose,171 ms
104.18.20.69,SJC,North America,San Jose,171 ms
104.19.62.180,SJC,North America,San Jose,171 ms
104.19.58.157,SJC,North America,San Jose,171 ms
104.19.56.94,SJC,North America,San Jose,171 ms
104.19.76.149,SJC,North America,San Jose,171 ms
104.19.60.7,SJC,North America,San Jose,171 ms
172.66.1.218,SJC,North America,San Jose,171 ms
104.19.87.118,SJC,North America,San Jose,172 ms
104.19.211.61,SJC,North America,San Jose,172 ms
104.19.199.14,SJC,North America,San Jose,172 ms
104.19.197.196,SJC,North America,San Jose,172 ms
104.18.206.162,SJC,North America,San Jose,172 ms
104.18.201.185,SJC,North America,San Jose,172 ms
104.18.23.43,LAX,North America,Los Angeles,172 ms
104.18.19.146,LAX,North America,Los Angeles,172 ms
104.18.22.83,LAX,North America,Los Angeles,172 ms
104.18.18.24,LAX,North America,Los Angeles,172 ms
104.19.0.40,SJC,North America,San Jose,172 ms
104.18.240.47,SJC,North America,San Jose,172 ms
104.19.2.196,SJC,North America,San Jose,172 ms
104.18.249.36,SJC,North America,San Jose,172 ms
104.18.250.32,SJC,North America,San Jose,172 ms
104.19.9.121,SJC,North America,San Jose,172 ms
104.19.1.74,SJC,North America,San Jose,172 ms
104.18.245.96,SJC,North America,San Jose,172 ms
104.18.244.36,SJC,North America,San Jose,172 ms
104.19.79.34,SJC,North America,San Jose,172 ms
104.18.139.88,SJC,North America,San Jose,172 ms
104.18.137.239,SJC,North America,San Jose,172 ms
104.24.189.193,FRA,Europe,Frankfurt,172 ms
104.20.56.140,FRA,Europe,Frankfurt,172 ms
104.16.31.41,SJC,North America,San Jose,172 ms
104.19.61.221,SJC,North America,San Jose,172 ms
104.16.34.41,SJC,North America,San Jose,172 ms
172.67.57.166,FRA,Europe,Frankfurt,172 ms
162.159.252.12,LAX,North America,Los Angeles,172 ms
104.18.194.219,SJC,North America,San Jose,172 ms
104.18.235.241,SJC,North America,San Jose,172 ms
104.18.236.132,SJC,North America,San Jose,172 ms
198.41.223.87,SJC,North America,San Jose,172 ms
104.19.55.9,SJC,North America,San Jose,172 ms
104.18.153.167,SJC,North America,San Jose,172 ms
104.18.140.108,SJC,North America,San Jose,172 ms
104.18.134.164,SJC,North America,San Jose,172 ms
104.18.136.182,SJC,North America,San Jose,172 ms
104.17.225.126,SJC,North America,San Jose,172 ms
104.17.219.42,SJC,North America,San Jose,172 ms
104.17.208.221,SJC,North America,San Jose,172 ms
104.17.223.162,SJC,North America,San Jose,172 ms
104.17.220.133,SJC,North America,San Jose,172 ms
104.20.63.0,FRA,Europe,Frankfurt,172 ms
104.18.178.21,SJC,North America,San Jose,172 ms
104.19.183.26,SJC,North America,San Jose,172 ms
104.19.170.50,SJC,North America,San Jose,172 ms
104.19.177.131,SJC,North America,San Jose,172 ms
104.27.89.3,FRA,Europe,Frankfurt,173 ms
104.19.233.145,SJC,North America,San Jose,173 ms
104.19.72.252,SJC,North America,San Jose,173 ms
104.25.239.8,FRA,Europe,Frankfurt,173 ms
104.18.127.99,LAX,North America,Los Angeles,173 ms
104.18.149.101,SJC,North America,San Jose,173 ms
104.18.148.24,SJC,North America,San Jose,173 ms
104.16.131.230,SJC,North America,San Jose,173 ms
198.41.217.190,SJC,North America,San Jose,173 ms
198.41.216.240,SJC,North America,San Jose,173 ms
104.27.86.226,FRA,Europe,Frankfurt,173 ms
104.25.81.92,FRA,Europe,Frankfurt,173 ms
104.25.78.108,FRA,Europe,Frankfurt,173 ms
104.20.131.70,FRA,Europe,Frankfurt,173 ms
104.19.168.215,SJC,North America,San Jose,173 ms
104.16.202.144,SJC,North America,San Jose,173 ms
104.16.12.38,SJC,North America,San Jose,173 ms
104.22.0.39,FRA,Europe,Frankfurt,173 ms
104.25.143.245,FRA,Europe,Frankfurt,173 ms
104.19.202.206,SJC,North America,San Jose,173 ms
172.67.117.188,FRA,Europe,Frankfurt,173 ms
172.67.120.226,FRA,Europe,Frankfurt,173 ms
104.25.99.126,FRA,Europe,Frankfurt,173 ms
198.41.201.212,SJC,North America,San Jose,173 ms
198.41.209.178,SJC,North America,San Jose,173 ms
198.41.198.8,SJC,North America,San Jose,173 ms
104.19.14.206,SJC,North America,San Jose,173 ms
162.159.40.6,SJC,North America,San Jose,173 ms
104.18.122.36,LAX,North America,Los Angeles,173 ms
104.18.123.184,LAX,North America,Los Angeles,173 ms
104.18.131.199,SJC,North America,San Jose,173 ms
104.18.120.111,LAX,North America,Los Angeles,173 ms
104.18.121.75,SJC,North America,San Jose,173 ms
104.24.180.164,FRA,Europe,Frankfurt,173 ms
104.18.247.127,SJC,North America,San Jose,173 ms
104.20.66.74,FRA,Europe,Frankfurt,174 ms
104.20.85.238,FRA,Europe,Frankfurt,174 ms
104.24.238.142,FRA,Europe,Frankfurt,174 ms
104.18.243.146,SJC,North America,San Jose,174 ms
